Structures   Fraction     E[J/m2]      V[A]         Fx           Fy           Fz           Q4           Q6           Q8           Q12          Method       
lammps_0202  0.8889       0.98846      0.28712      1.56265      0.52862      0.00349      -0.10622     -0.15196     -0.01931     -0.18842     byEQ         
lammps_0203  0.8889       0.98786      0.29732      1.86604      0.71101      0.00239      -0.10236     -0.14546     -0.02430     -0.18346     byEQ         
lammps_0204  0.8889       0.99015      0.29754      1.89930      0.60138      -0.01457     -0.10041     -0.14697     -0.01925     -0.18150     byEQ         
lammps_0205  0.8889       0.98861      0.30202      2.14256      0.80165      0.00316      -0.10423     -0.14783     -0.03681     -0.19242     byEQ         
lammps_0206  0.8889       0.98863      0.28091      1.42035      0.38855      0.00228      -0.10162     -0.14928     -0.01280     -0.18196     byEQ         
lammps_0207  0.8000       0.95961      0.31940      2.53135      1.38778      0.00587      -0.10035     -0.14240     -0.03469     -0.18541     byEQ         
lammps_0208  0.8500       0.96683      0.30108      2.14996      0.93455      -0.00442     -0.10117     -0.14418     -0.02809     -0.18458     byEQ         
lammps_0209  0.8750       0.96739      0.28281      1.77903      0.33932      0.00471      -0.09994     -0.14406     -0.02490     -0.18388     byEQ         
lammps_0210  0.8000       0.97194      0.31476      2.32647      1.19449      -0.00462     -0.10586     -0.14810     -0.02864     -0.18908     byEQ         
lammps_0211  0.9167       0.97336      0.31886      1.62203      0.97063      0.00803      -0.06965     -0.12044     0.00446      -0.14415     byEQ         
lammps_0212  0.7500       0.97612      0.31464      2.14145      1.28234      -0.01262     -0.10104     -0.14534     -0.02816     -0.18491     byEQ         
lammps_0213  0.8750       0.97687      0.31916      1.83769      0.94080      0.00418      -0.07247     -0.12086     0.00146      -0.14796     byEQ         
lammps_0214  0.8750       0.97680      0.31914      1.82764      0.94277      0.00404      -0.07140     -0.11968     0.00096      -0.14692     byEQ         
lammps_0215  0.9000       0.97742      0.31854      1.68408      0.93640      0.00448      -0.07242     -0.12223     0.00442      -0.14611     byEQ         
lammps_0216  0.9000       0.97768      0.31947      1.56691      1.02380      0.00330      -0.07379     -0.12306     0.00474      -0.14763     byEQ         
lammps_0217  0.9000       0.97914      0.31968      1.61702      1.01534      -0.01943     -0.07052     -0.12159     0.00431      -0.14503     byEQ         
lammps_0218  0.9000       0.97824      0.32008      1.62037      1.00424      0.00473      -0.07052     -0.12160     0.00430      -0.14506     byEQ         
lammps_0219  0.9000       0.97835      0.31789      1.62345      0.94150      0.00474      -0.07460     -0.12604     0.00613      -0.14769     byEQ         
lammps_0220  0.7500       0.98068      0.32854      2.50989      1.35525      -0.00520     -0.10013     -0.14210     -0.02987     -0.18225     byEQ         
lammps_0221  0.8333       0.98147      0.30428      2.03503      0.65331      0.00538      -0.09344     -0.14032     -0.01356     -0.17190     byEQ         
lammps_0222  0.8889       0.98156      0.31805      1.64216      0.91870      0.00473      -0.07432     -0.12375     0.00443      -0.14824     byEQ         
lammps_0223  0.8333       0.98227      0.30570      2.16141      0.79331      0.00572      -0.09574     -0.14754     -0.01501     -0.17607     byEQ         
lammps_0224  0.8125       0.98005      0.29383      1.69328      0.52407      0.00099      -0.09188     -0.13992     -0.01470     -0.17085     byEQ         
lammps_0225  0.8750       0.98256      0.31676      1.64918      0.87881      0.00384      -0.07808     -0.12622     0.00710      -0.14942     byEQ         
lammps_0226  0.8333       0.98305      0.29938      1.97821      0.58213      0.00511      -0.09851     -0.14345     -0.02054     -0.17883     byEQ         
lammps_0227  0.8750       0.98293      0.31110      1.72382      0.74506      0.00467      -0.07657     -0.12427     0.00002      -0.15069     byEQ         
lammps_0228  0.8333       0.98283      0.29539      1.85453      0.56727      0.00463      -0.10034     -0.14427     -0.02098     -0.17944     byEQ         
lammps_0229  0.8333       0.97973      0.31242      1.61185      0.82468      -0.00637     -0.08405     -0.13156     0.01153      -0.15791     byEQ         
lammps_0230  0.9000       0.98348      0.29542      1.74594      0.53250      0.00495      -0.09638     -0.14546     -0.00801     -0.17366     byEQ         
lammps_0231  0.8750       0.98401      0.31629      1.69783      0.85560      0.00503      -0.08106     -0.13266     0.00718      -0.15303     byEQ         
lammps_0232  0.8750       0.98419      0.31738      1.61395      0.94625      -0.01342     -0.07888     -0.12908     0.00659      -0.15152     byEQ         
lammps_0233  0.8125       0.98400      0.30811      1.93548      0.71861      0.00534      -0.09406     -0.14013     -0.00521     -0.16818     byEQ         
lammps_0234  0.8750       0.98366      0.31900      1.58330      0.98976      0.00438      -0.07910     -0.13017     0.00721      -0.15203     byEQ         
lammps_0235  0.8333       0.98348      0.29150      1.70632      0.47138      -0.00543     -0.09952     -0.14330     -0.02008     -0.17894     byEQ         
lammps_0236  0.8750       0.98423      0.31687      1.66432      0.88663      0.00500      -0.08032     -0.13193     0.00693      -0.15271     byEQ         
lammps_0237  0.8500       0.98309      0.31786      1.77627      0.87842      0.00332      -0.08153     -0.12828     0.00695      -0.15386     byEQ         
lammps_0238  0.8750       0.98347      0.31786      1.59685      0.94361      0.00402      -0.07503     -0.12462     0.00486      -0.14906     byEQ         
lammps_0239  0.8750       0.98374      0.31787      1.69982      0.86758      0.00411      -0.07231     -0.12300     0.00411      -0.14756     byEQ         
lammps_0240  0.8750       0.98348      0.31872      1.69052      0.89117      0.00380      -0.07367     -0.12409     0.00481      -0.14840     byEQ         
lammps_0241  0.8000       0.98428      0.29729      1.75119      0.76703      0.00444      -0.10140     -0.14495     -0.01990     -0.18020     byEQ         
lammps_0242  0.8750       0.98462      0.31656      1.63396      0.86780      0.00452      -0.07772     -0.12803     0.00600      -0.15091     byEQ         
lammps_0243  0.8333       0.98394      0.31923      1.85404      0.91522      0.01097      -0.07550     -0.12421     0.00118      -0.15077     byEQ         
lammps_0244  0.8750       0.98544      0.31846      1.64521      0.92719      -0.01313     -0.07659     -0.12857     0.00633      -0.15041     byEQ         
lammps_0245  0.8125       0.98300      0.29871      1.81094      0.59424      0.00131      -0.09904     -0.14536     -0.01279     -0.17622     byEQ         
lammps_0246  0.8500       0.98567      0.31552      1.51923      0.93560      0.00343      -0.08599     -0.13444     0.01078      -0.15735     byEQ         
lammps_0247  0.8500       0.98680      0.31738      1.80650      0.83954      -0.01328     -0.07684     -0.12635     0.00419      -0.15078     byEQ         
lammps_0248  0.8333       0.98449      0.31391      1.54571      0.89969      -0.00542     -0.07981     -0.12829     0.00422      -0.15486     byEQ         
lammps_0249  0.8125       0.98347      0.31480      1.74567      0.82359      0.00389      -0.08822     -0.13555     0.00969      -0.16104     byEQ         
lammps_0250  0.8500       0.98730      0.31775      1.67927      0.92258      -0.01315     -0.07696     -0.12579     0.00441      -0.15039     byEQ         
lammps_0251  0.8125       0.98540      0.29223      1.65050      0.48360      0.00130      -0.09381     -0.14108     -0.01335     -0.17313     byEQ         
lammps_0252  0.8500       0.98732      0.31669      1.64049      0.89377      -0.00177     -0.07834     -0.12709     0.00455      -0.15236     byEQ         
lammps_0253  0.8125       0.97898      0.29200      1.39431      0.58162      0.00486      -0.09304     -0.14252     -0.00542     -0.17276     byEQ         
lammps_0254  0.8500       0.98745      0.31727      1.61109      0.90328      -0.00236     -0.08467     -0.13425     0.00968      -0.15604     byEQ         
lammps_0255  0.8500       0.98797      0.31854      1.72508      0.89379      0.00477      -0.07953     -0.13124     0.00602      -0.15290     byEQ         
lammps_0256  0.8500       0.98709      0.31736      1.61183      0.90066      0.00336      -0.08467     -0.13425     0.00969      -0.15603     byEQ         
lammps_0257  0.7917       0.98789      0.30683      2.02641      0.74656      0.00508      -0.09795     -0.14281     -0.01448     -0.17472     byEQ         
lammps_0258  0.8125       0.98469      0.31559      1.77597      0.82398      0.00095      -0.08550     -0.13272     0.00830      -0.15895     byEQ         
lammps_0259  0.8125       0.98340      0.31645      1.75919      0.85663      -0.00016     -0.08397     -0.13136     0.00800      -0.15720     byEQ         
lammps_0260  0.8333       0.98772      0.31697      1.73132      0.84262      -0.00751     -0.08964     -0.13695     0.01175      -0.15944     byEQ         
lammps_0261  0.8500       0.98776      0.31561      1.68348      0.80625      0.00360      -0.07679     -0.12575     0.00623      -0.15006     byEQ         
lammps_0262  0.8125       0.98780      0.31879      1.85573      0.90154      0.00410      -0.07716     -0.12591     0.00105      -0.15224     byEQ         
lammps_0263  0.8333       0.98754      0.31706      1.73366      0.83864      -0.00297     -0.08964     -0.13695     0.01175      -0.15945     byEQ         
lammps_0264  0.8500       0.98793      0.31655      1.69536      0.81929      0.00359      -0.07968     -0.12820     0.00772      -0.15212     byEQ         
lammps_0265  0.8125       0.98331      0.29932      1.66277      0.58312      -0.00687     -0.09074     -0.13793     -0.00651     -0.16813     byDefault    
lammps_0266  0.8500       0.98871      0.31683      1.79726      0.79601      0.00468      -0.07856     -0.12847     0.00542      -0.15158     byEQ         
lammps_0267  0.8500       0.98888      0.31964      1.53738      1.02119      0.00442      -0.08451     -0.13361     0.00767      -0.15670     byEQ         
lammps_0268  0.8500       0.98908      0.31768      1.52383      0.96222      0.00441      -0.08180     -0.13024     0.00667      -0.15445     byEQ         
lammps_0269  0.8500       0.98937      0.31509      1.69921      0.79230      0.00473      -0.07938     -0.12966     0.00563      -0.15216     byEQ         
lammps_0270  0.8500       0.98940      0.31825      1.71156      0.86338      0.00459      -0.07851     -0.12755     0.00489      -0.15136     byEQ         
lammps_0271  0.8500       0.98956      0.31870      1.67495      0.90038      0.00319      -0.08066     -0.12893     0.00593      -0.15257     byEQ         
lammps_0272  0.8500       0.98961      0.31600      1.65975      0.84446      0.00480      -0.07668     -0.12805     0.00526      -0.14919     byEQ         
lammps_0273  0.8125       0.97903      0.29844      1.38293      0.73897      -0.01021     -0.09558     -0.14684     0.00345      -0.17229     byDefault    
lammps_0274  0.8500       0.98973      0.31773      1.61782      0.90053      0.00453      -0.07940     -0.12866     0.00591      -0.15260     byEQ         
lammps_0275  0.8125       0.98797      0.31526      1.68785      0.85879      0.00283      -0.07892     -0.12717     0.00272      -0.15397     byEQ         
lammps_0276  0.8125       0.98844      0.31503      1.68401      0.85874      -0.00447     -0.07802     -0.12628     0.00231      -0.15332     byEQ         
lammps_0277  0.8125       0.98720      0.31417      1.63936      0.85062      0.00106      -0.07955     -0.12742     0.00342      -0.15350     byEQ         
lammps_0278  0.8750       0.98997      0.31338      1.68728      0.78504      -0.01229     -0.07909     -0.12888     0.00264      -0.15356     byEQ         
lammps_0279  0.7500       0.98809      0.29794      1.70709      0.52013      0.00168      -0.10919     -0.15808     0.00195      -0.18173     byEQ         
lammps_0280  0.8333       0.99026      0.31809      1.62215      0.93788      -0.00181     -0.08397     -0.13164     0.00606      -0.15642     byEQ         
lammps_0281  0.7500       0.97356      0.28632      0.90137      0.78102      0.03888      -0.10661     -0.16097     0.01314      -0.18313     byDefault    
lammps_0282  0.8125       0.98869      0.30704      1.76562      0.69104      0.00158      -0.08912     -0.13904     -0.00295     -0.16644     byEQ         
lammps_0283  0.8333       0.99014      0.31707      1.74744      0.79883      0.00334      -0.08202     -0.13105     0.00806      -0.15454     byEQ         
lammps_0284  0.7500       0.98939      0.30280      1.92574      0.55092      0.00191      -0.10131     -0.14697     -0.00640     -0.17645     byEQ         
lammps_0285  0.8750       0.99149      0.31580      1.69754      0.82198      -0.01205     -0.07784     -0.12673     0.00084      -0.15315     byEQ         
lammps_0286  0.7917       0.99109      0.29241      1.54822      0.49140      0.00414      -0.10064     -0.14605     -0.01341     -0.17780     byEQ         
lammps_0287  0.8000       0.99016      0.31471      1.71906      0.77472      0.00239      -0.08816     -0.13360     0.01099      -0.15980     byEQ         
lammps_0288  0.8333       0.99194      0.31602      1.54524      0.91265      0.00434      -0.08107     -0.12861     0.00563      -0.15346     byEQ         
lammps_0289  0.7500       0.98692      0.29407      1.34745      0.60416      -0.00014     -0.09079     -0.13906     -0.00821     -0.16724     byEQ         
lammps_0290  0.7500       0.97770      0.29509      0.99618      0.77953      0.02054      -0.10688     -0.15918     0.01996      -0.17839     byDefault    
lammps_0291  0.8125       0.99249      0.30389      1.88209      0.53232      0.00507      -0.09694     -0.14331     -0.01042     -0.17181     byEQ         
lammps_0292  0.8333       0.99241      0.31676      1.57542      0.88985      0.00448      -0.08322     -0.13082     0.00644      -0.15488     byEQ         
lammps_0293  0.8333       0.99220      0.31730      1.60364      0.90336      0.00417      -0.08179     -0.13087     0.00630      -0.15448     byEQ         
lammps_0294  0.7500       0.98809      0.29414      1.49764      0.57835      0.00023      -0.09333     -0.14221     -0.01080     -0.17308     byEQ         
lammps_0295  0.8333       0.99327      0.31655      1.56591      0.91115      -0.00670     -0.08102     -0.12844     0.00575      -0.15379     byEQ         
lammps_0296  0.8333       0.99246      0.31682      1.59171      0.88974      0.00413      -0.08107     -0.12994     0.00623      -0.15358     byEQ         
lammps_0297  0.8333       0.99265      0.31674      1.56820      0.90535      0.00409      -0.08102     -0.12844     0.00575      -0.15379     byEQ         
lammps_0298  0.8500       0.99327      0.31256      1.80842      0.70561      0.00480      -0.08606     -0.13601     0.00075      -0.16028     byEQ         
lammps_0299  0.8500       0.99308      0.30806      1.69483      0.65028      0.00334      -0.08407     -0.13280     0.00082      -0.15839     byEQ         
lammps_0300  0.8333       0.99291      0.31665      1.66881      0.82753      0.00410      -0.07812     -0.12722     0.00522      -0.15205     byEQ         
lammps_0301  0.7500       0.98058      0.29125      1.25030      0.68040      -0.01155     -0.09464     -0.14706     0.00003      -0.17547     byDefault    
lammps_0302  0.8333       0.99333      0.31554      1.57888      0.85363      0.00436      -0.08135     -0.13074     0.00665      -0.15423     byEQ         
lammps_0303  0.8333       0.99338      0.31699      1.59300      0.88382      0.00426      -0.08088     -0.12865     0.00546      -0.15376     byEQ         
lammps_0304  0.8125       0.99379      0.30020      1.85422      0.61856      -0.01106     -0.09811     -0.14272     -0.01508     -0.17570     byEQ         
lammps_0305  0.8500       0.99319      0.30427      1.62474      0.58875      0.00367      -0.09062     -0.13935     0.00352      -0.16303     byEQ         
lammps_0306  0.8333       0.99399      0.31737      1.62417      0.87399      0.00469      -0.08279     -0.13257     0.00710      -0.15466     byEQ         
lammps_0307  0.8333       0.96578      0.29480      1.93579      0.79457      0.00493      -0.10915     -0.15302     -0.02762     -0.19253     byEQ         
lammps_0308  0.8333       0.99364      0.29688      1.70633      0.68861      0.00287      -0.10349     -0.14816     -0.01663     -0.18359     byEQ         
lammps_0309  0.8056       0.99445      0.30672      1.95481      0.88403      0.00502      -0.10484     -0.14664     -0.03522     -0.19018     byEQ         
lammps_0310  0.7778       0.99515      0.30377      1.82366      0.79646      0.00458      -0.10568     -0.14983     -0.02490     -0.18721     byEQ         
lammps_0311  0.4615       0.93572      0.17516      -2.08982     0.37629      -0.00007     -0.08556     -0.14721     -0.01985     -0.17054     byEQ         
lammps_0312  0.4667       0.93565      0.17217      -2.11617     0.29651      -0.00006     -0.08235     -0.14294     -0.02222     -0.16783     byEQ         
lammps_0313  0.4615       0.93572      0.17516      -2.08982     0.37629      -0.00006     -0.08556     -0.14721     -0.01985     -0.17054     byEQ         
lammps_0314  0.4667       0.93565      0.17217      -2.11617     0.29651      -0.00007     -0.08235     -0.14294     -0.02222     -0.16783     byEQ         
lammps_0315  0.4545       0.93601      0.17934      -2.05566     0.48011      -0.00004     -0.09099     -0.15324     -0.01697     -0.17383     byEQ         
lammps_0316  0.4444       0.93664      0.18611      -2.00016     0.62393      0.01679      -0.08691     -0.14844     -0.01891     -0.17004     byEQ         
lammps_0317  0.4286       0.94104      0.19692      -1.90929     0.84827      0.00372      -0.08659     -0.15102     -0.01786     -0.17050     byEQ         
lammps_0318  0.5000       0.94263      0.16723      -2.05929     -0.03855     0.00040      -0.08441     -0.13961     -0.02271     -0.17305     byEQ         
lammps_0319  0.5000       0.94868      0.17533      -1.96033     0.15599      -0.00017     -0.08611     -0.14722     -0.02138     -0.17329     byEQ         
lammps_0320  0.5000       0.95331      0.18284      -1.84962     0.28705      -0.00205     -0.09249     -0.15273     -0.01903     -0.17771     byEQ         
lammps_0321  0.4000       0.95454      0.21750      -1.70144     1.22435      -0.00560     -0.07927     -0.14171     -0.01760     -0.16247     byEQ         
lammps_0322  0.4000       0.95708      0.20676      -1.74631     0.82331      0.00189      -0.08480     -0.14861     -0.01441     -0.16854     byEQ         
lammps_0323  0.5000       0.95703      0.18938      -1.75367     0.38688      0.00521      -0.09380     -0.15467     -0.01787     -0.17940     byEQ         
lammps_0324  0.4000       0.95805      0.20405      -1.81678     0.87437      -0.00696     -0.08271     -0.14804     -0.01478     -0.16940     byEQ         
lammps_0325  0.4500       0.95833      0.18910      -1.78637     0.19839      0.01267      -0.08387     -0.14235     -0.01533     -0.16759     byEQ         
lammps_0326  0.4667       0.95981      0.18265      -1.80424     0.10591      -0.00125     -0.08730     -0.14882     -0.01735     -0.17387     byEQ         
lammps_0327  0.4667       0.96224      0.19100      -1.72716     0.26861      0.00515      -0.08576     -0.14770     -0.01710     -0.17286     byEQ         
lammps_0328  0.4667       0.96328      0.19149      -1.72757     0.29086      0.00484      -0.08866     -0.15087     -0.01544     -0.17469     byEQ         
lammps_0329  0.5000       0.96428      0.19934      -1.61159     0.53693      0.00356      -0.09705     -0.15740     -0.01652     -0.18254     byEQ         
lammps_0330  0.3636       0.96396      0.20552      -1.43720     0.33524      0.00087      -0.08222     -0.14197     -0.01093     -0.16502     byEQ         
lammps_0331  0.5500       0.96475      0.17773      -1.76278     -0.15910     0.00060      -0.07701     -0.13199     -0.02673     -0.16820     byEQ         
lammps_0332  0.5333       0.96536      0.18904      -1.61978     0.15908      0.00051      -0.09190     -0.15000     -0.01894     -0.17868     byEQ         
lammps_0333  0.5000       0.96544      0.19876      -1.61640     0.50514      0.00052      -0.09232     -0.15090     -0.01722     -0.17678     byEQ         
lammps_0334  0.5333       0.96602      0.20297      -1.35371     0.30147      0.01449      -0.08956     -0.14973     -0.01560     -0.17381     byEQ         
lammps_0335  0.4667       0.96809      0.18792      -1.78482     0.19455      -0.00076     -0.08689     -0.14793     -0.02161     -0.17519     byEQ         
lammps_0336  0.3571       0.97003      0.21012      -1.56811     0.62924      0.00417      -0.08146     -0.14419     -0.01246     -0.16848     byEQ         
lammps_0337  0.4667       0.97033      0.21397      -1.51199     0.82734      0.00289      -0.09010     -0.14913     -0.01578     -0.17305     byEQ         
lammps_0338  0.4667       0.97102      0.19010      -1.80697     0.25259      -0.00052     -0.09020     -0.15123     -0.01933     -0.17827     byEQ         
lammps_0339  0.4667       0.97189      0.18844      -1.85650     0.23928      -0.00256     -0.09054     -0.15292     -0.01952     -0.17888     byEQ         
lammps_0340  0.3571       0.97313      0.21151      -1.48732     0.58571      0.00435      -0.08531     -0.14867     -0.00981     -0.17129     byEQ         
lammps_0341  0.4500       0.97376      0.18136      -1.98893     0.01109      0.00008      -0.08518     -0.14221     -0.02288     -0.17604     byEQ         
lammps_0342  0.4615       0.97557      0.19427      -1.76106     0.22311      -0.00306     -0.08760     -0.15068     -0.01811     -0.17522     byEQ         
lammps_0343  0.4444       0.97567      0.20184      -1.43759     0.22224      0.00442      -0.09064     -0.15158     -0.01302     -0.17566     byEQ         
lammps_0344  0.6000       0.97125      0.21450      -1.01548     0.25473      0.00570      -0.09157     -0.15214     -0.00972     -0.17442     byEQ         
lammps_0345  0.4615       0.97560      0.19648      -1.69100     0.23128      0.00000      -0.08983     -0.15252     -0.01672     -0.17610     byEQ         
lammps_0346  0.5667       0.97544      0.18695      -1.58729     -0.01193     0.00921      -0.09548     -0.15669     -0.01985     -0.18411     byEQ         
lammps_0347  0.4667       0.97568      0.19032      -1.77276     0.16513      -0.00086     -0.08817     -0.14912     -0.02116     -0.17671     byEQ         
lammps_0348  0.5000       0.97628      0.19615      -1.55337     0.17314      0.00081      -0.09225     -0.15391     -0.01523     -0.17892     byEQ         
lammps_0349  0.5000       0.97760      0.20078      -1.39125     0.13022      -0.00271     -0.09134     -0.15125     -0.01278     -0.17623     byEQ         
lammps_0350  0.5000       0.97658      0.19735      -1.52207     0.21106      0.00039      -0.09484     -0.15570     -0.01451     -0.18100     byEQ         
lammps_0351  0.4091       0.97796      0.20035      -1.81656     0.55502      -0.00055     -0.08827     -0.15115     -0.02072     -0.17560     byEQ         
lammps_0352  0.5000       0.97779      0.19733      -1.43889     -0.00276     0.00103      -0.08583     -0.14027     -0.01585     -0.17017     byEQ         
lammps_0353  0.4667       0.97862      0.21363      -1.15171     0.41416      0.00125      -0.09619     -0.15608     -0.01096     -0.17985     byEQ         
lammps_0354  0.5333       0.97472      0.22266      -0.97968     0.40383      -0.00091     -0.09575     -0.15581     -0.00292     -0.17604     byEQ         
lammps_0355  0.4667       0.97860      0.21314      -1.13811     0.35897      0.00065      -0.09311     -0.15130     -0.01204     -0.17638     byEQ         
lammps_0356  0.4545       0.97830      0.19882      -1.61941     0.32618      0.00086      -0.08758     -0.14900     -0.02150     -0.17717     byEQ         
lammps_0357  0.5000       0.97914      0.21532      -1.37937     0.70277      0.00301      -0.09537     -0.15351     -0.01547     -0.17891     byEQ         
lammps_0358  0.3182       0.97825      0.20569      -1.41829     0.27826      -0.00879     -0.09613     -0.15730     -0.00614     -0.17833     byEQ         
lammps_0359  0.4667       0.97872      0.20477      -1.29215     0.15124      0.00027      -0.09238     -0.15124     -0.01118     -0.17629     byEQ         
lammps_0360  0.2857       0.97938      0.22385      -1.05923     0.38448      0.00800      -0.08736     -0.14851     -0.00247     -0.16990     byEQ         
lammps_0361  0.5000       0.97743      0.22303      -1.00582     0.44520      0.00026      -0.09543     -0.15489     -0.00388     -0.17623     byEQ         
lammps_0362  0.4000       0.97984      0.20611      -1.69275     0.44014      0.00490      -0.08154     -0.14663     -0.00957     -0.16865     byEQ         
lammps_0363  0.4615       0.98000      0.19597      -1.70352     0.25630      -0.00003     -0.09242     -0.15514     -0.01828     -0.17880     byEQ         
lammps_0364  0.5000       0.97975      0.19477      -1.55959     0.01117      -0.00046     -0.08975     -0.15176     -0.01338     -0.17612     byEQ         
lammps_0365  0.4667       0.98041      0.21601      -1.19893     0.46032      0.00088      -0.09426     -0.15514     -0.00772     -0.17699     byEQ         
lammps_0366  0.4667       0.98030      0.20462      -1.48148     0.28070      -0.00085     -0.08777     -0.15207     -0.01411     -0.17461     byEQ         
lammps_0367  0.5000       0.98111      0.19137      -1.62752     -0.06027     0.00059      -0.08767     -0.15055     -0.01399     -0.17480     byEQ         
lammps_0368  0.4500       0.98138      0.18036      -1.94449     -0.16879     0.00041      -0.07821     -0.13519     -0.02719     -0.17050     byEQ         
lammps_0369  0.5000       0.98235      0.16129      -2.25921     -0.63497     -0.00449     -0.08093     -0.14223     -0.02256     -0.16905     byEQ         
lammps_0370  0.5500       0.98294      0.22520      -0.91830     0.66310      0.00591      -0.10489     -0.16455     -0.01174     -0.18871     byEQ         
lammps_0371  0.6000       0.98243      0.20290      -1.14238     -0.02219     0.01064      -0.08809     -0.14290     -0.02271     -0.17579     byEQ         
lammps_0372  0.5667       0.97961      0.22433      -0.72331     0.38092      0.00663      -0.09299     -0.15219     -0.01655     -0.18060     byEQ         
lammps_0373  0.3571       0.98365      0.21569      -1.72535     0.85629      0.00293      -0.08996     -0.15587     -0.01787     -0.17968     byEQ         
lammps_0374  0.5000       0.98366      0.21030      -1.51459     0.55722      0.00111      -0.09275     -0.15074     -0.01463     -0.17543     byEQ         
lammps_0375  0.5000       0.98399      0.20559      -1.35116     0.09384      -0.00200     -0.08250     -0.13644     -0.01366     -0.16803     byEQ         
lammps_0376  0.5000       0.98416      0.20648      -1.36660     0.18036      0.00129      -0.09247     -0.15244     -0.01054     -0.17712     byEQ         
lammps_0377  0.4667       0.98400      0.19602      -1.73134     0.20468      -0.00278     -0.08774     -0.14874     -0.01950     -0.17546     byEQ         
lammps_0378  0.4545       0.98440      0.20237      -1.64356     0.37847      -0.00834     -0.09381     -0.15439     -0.01795     -0.18114     byEQ         
lammps_0379  0.4444       0.98455      0.21739      -1.29004     0.50189      0.00310      -0.09369     -0.15395     -0.00963     -0.17725     byEQ         
lammps_0380  0.4706       0.93535      0.17018      -2.12720     0.23452      0.00225      -0.08325     -0.14402     -0.02177     -0.16907     byEQ         
lammps_0381  0.4412       0.95302      0.17881      -2.06479     0.25463      0.00282      -0.08553     -0.14815     -0.02089     -0.17344     byEQ         
lammps_0382  0.4706       0.95755      0.17981      -1.85772     0.07753      0.00323      -0.08738     -0.14869     -0.01773     -0.17416     byEQ         
lammps_0383  0.4706       0.95831      0.18874      -1.78872     0.27698      0.00210      -0.08714     -0.14872     -0.01630     -0.17247     byEQ         
lammps_0384  0.4706       0.95969      0.18795      -1.77441     0.23751      0.00246      -0.08476     -0.14639     -0.01768     -0.17170     byEQ         
lammps_0385  0.4706       0.95993      0.18676      -1.78947     0.22669      0.00104      -0.08694     -0.14837     -0.01716     -0.17364     byEQ         
lammps_0386  0.4706       0.96011      0.19059      -1.72752     0.26095      0.00219      -0.08500     -0.14611     -0.01678     -0.17126     byEQ         
lammps_0387  0.5294       0.96002      0.18231      -1.74308     0.08430      0.00117      -0.09152     -0.15192     -0.01938     -0.17868     byEQ         
lammps_0388  0.4706       0.96066      0.18833      -1.77778     0.24624      0.00225      -0.08857     -0.15109     -0.01583     -0.17415     byEQ         
lammps_0389  0.4706       0.96333      0.20714      -1.60281     0.74511      0.00092      -0.09309     -0.15280     -0.01612     -0.17598     byEQ         
lammps_0390  0.4706       0.96313      0.19669      -1.75998     0.46489      0.00205      -0.08623     -0.14765     -0.01539     -0.17074     byEQ         
lammps_0391  0.4318       0.96415      0.20015      -1.59942     0.45356      0.00477      -0.09026     -0.15316     -0.01339     -0.17599     byEQ         
lammps_0392  0.4412       0.96539      0.19636      -1.46427     0.21268      -0.00085     -0.08957     -0.14911     -0.01452     -0.17466     byEQ         
lammps_0393  0.4706       0.96451      0.18416      -1.84036     0.14272      0.00087      -0.08543     -0.14654     -0.02221     -0.17372     byEQ         
lammps_0394  0.4545       0.96537      0.19163      -1.83199     0.41190      0.00563      -0.09043     -0.15224     -0.01947     -0.17677     byEQ         
lammps_0395  0.4706       0.96507      0.18448      -1.87529     0.18069      0.00354      -0.08922     -0.15122     -0.02030     -0.17722     byEQ         
lammps_0396  0.4706       0.96577      0.20080      -1.30535     0.22350      0.00275      -0.09228     -0.15213     -0.01105     -0.17560     byEQ         
lammps_0397  0.5000       0.96588      0.20534      -1.47983     0.57492      0.00236      -0.09246     -0.15188     -0.01644     -0.17639     byEQ         
lammps_0398  0.5000       0.96737      0.20837      -1.43487     0.60454      0.00189      -0.09492     -0.15669     -0.01519     -0.17921     byEQ         
lammps_0399  0.4706       0.96663      0.19566      -1.56961     0.21045      0.00046      -0.08855     -0.14831     -0.01463     -0.17312     byEQ         
lammps_0400  0.4118       0.96798      0.19271      -1.88436     0.35920      0.00597      -0.08621     -0.14927     -0.01698     -0.17302     byEQ         
lammps_0401  0.3824       0.96821      0.20476      -1.62527     0.50862      -0.00101     -0.08224     -0.14504     -0.01314     -0.16737     byEQ         
lammps_0402  0.3864       0.96971      0.21099      -1.52303     0.58864      0.00524      -0.08512     -0.14748     -0.01326     -0.16965     byEQ         
lammps_0403  0.4412       0.97018      0.20737      -1.44145     0.50275      -0.00137     -0.08971     -0.14955     -0.01330     -0.17367     byEQ         
lammps_0404  0.4318       0.97057      0.20143      -1.65367     0.42856      -0.00210     -0.08750     -0.15026     -0.01517     -0.17284     byEQ         
lammps_0405  0.3824       0.97056      0.19911      -1.76124     0.41868      0.00593      -0.08339     -0.14567     -0.01608     -0.17063     byEQ         
lammps_0406  0.4318       0.97244      0.19637      -1.75297     0.38281      0.00523      -0.09122     -0.15474     -0.01589     -0.17793     byEQ         
lammps_0407  0.5000       0.97236      0.19736      -1.52406     0.21013      0.00266      -0.08928     -0.14966     -0.01600     -0.17573     byEQ         
