Structures   Fraction     E[J/m2]      V[A]         Fx           Fy           Fz           Q4           Q6           Q8           Q12          Method       
lammps_0047  0.4800       0.96350      0.19713      -1.46324     0.24487      0.00260      -0.09176     -0.15103     -0.01382     -0.17531     byEQ         
lammps_0048  0.4800       0.95830      0.17366      -2.03215     0.01166      0.00021      -0.08427     -0.14721     -0.02188     -0.17310     byEQ         
lammps_0049  0.4800       0.96301      0.19771      -1.58762     0.40718      0.00289      -0.09133     -0.15183     -0.01585     -0.17633     byEQ         
lammps_0050  0.4800       0.96354      0.19717      -1.59068     0.40040      -0.00022     -0.08959     -0.15153     -0.01626     -0.17601     byEQ         
lammps_0051  0.4800       0.96411      0.20171      -1.51462     0.46519      0.00019      -0.09215     -0.15306     -0.01511     -0.17612     byEQ         
lammps_0052  0.4800       0.96507      0.19642      -1.59673     0.36817      0.00037      -0.09330     -0.15446     -0.01557     -0.17831     byEQ         
lammps_0053  0.4800       0.96510      0.19698      -1.59607     0.39654      0.00238      -0.09515     -0.15642     -0.01514     -0.17987     byEQ         
lammps_0054  0.4800       0.96444      0.19626      -1.57943     0.24286      0.00246      -0.08506     -0.14606     -0.01567     -0.17087     byEQ         
lammps_0055  0.4800       0.96573      0.19699      -1.59709     0.39766      0.00048      -0.09680     -0.15911     -0.01452     -0.18166     byEQ         
lammps_0056  0.4800       0.96586      0.18869      -1.67057     0.13439      0.00265      -0.08805     -0.14987     -0.01727     -0.17464     byEQ         
lammps_0057  0.4800       0.96478      0.19957      -1.55574     0.41208      0.00272      -0.08928     -0.15051     -0.01653     -0.17509     byEQ         
lammps_0058  0.4800       0.96574      0.20066      -1.57652     0.41593      0.00256      -0.08865     -0.14940     -0.01469     -0.17331     byEQ         
lammps_0059  0.4800       0.96518      0.20006      -1.53039     0.36700      -0.00012     -0.08987     -0.14995     -0.01396     -0.17315     byEQ         
lammps_0060  0.4800       0.96625      0.19681      -1.56984     0.33343      -0.00004     -0.08940     -0.15016     -0.01659     -0.17491     byEQ         
lammps_0061  0.4800       0.96713      0.18818      -1.66237     0.05369      0.00438      -0.08611     -0.14456     -0.01731     -0.17199     byEQ         
lammps_0062  0.4800       0.96594      0.19894      -1.54606     0.39350      0.00367      -0.09189     -0.15198     -0.01562     -0.17630     byEQ         
lammps_0063  0.4800       0.96701      0.19627      -1.59759     0.33317      -0.00006     -0.08870     -0.14931     -0.01678     -0.17452     byEQ         
lammps_0064  0.4800       0.96760      0.19181      -1.65048     0.14539      0.00064      -0.08724     -0.14836     -0.01579     -0.17271     byEQ         
lammps_0065  0.4800       0.96702      0.19952      -1.55213     0.41079      0.00218      -0.09479     -0.15594     -0.01470     -0.17931     byEQ         
lammps_0066  0.4800       0.96651      0.20471      -1.54723     0.56894      0.00213      -0.09161     -0.15366     -0.01533     -0.17627     byEQ         
lammps_0067  0.4800       0.96719      0.19484      -1.58643     0.28104      -0.00007     -0.09372     -0.15465     -0.01489     -0.17882     byEQ         
lammps_0068  0.4800       0.96805      0.18849      -1.69255     0.07811      0.00287      -0.08748     -0.14817     -0.01608     -0.17350     byEQ         
lammps_0069  0.4800       0.96693      0.20159      -1.56687     0.48189      0.00201      -0.09374     -0.15399     -0.01409     -0.17718     byEQ         
lammps_0070  0.4800       0.96828      0.19328      -1.61836     0.16239      0.00059      -0.08700     -0.14694     -0.01563     -0.17246     byEQ         
lammps_0071  0.4800       0.96710      0.19793      -1.58864     0.35243      0.00172      -0.08847     -0.15028     -0.01642     -0.17441     byEQ         
lammps_0072  0.4800       0.96751      0.19900      -1.59182     0.41138      0.00275      -0.08975     -0.15018     -0.01611     -0.17537     byEQ         
lammps_0073  0.4800       0.96837      0.20292      -1.49138     0.42973      0.00260      -0.09340     -0.15282     -0.01385     -0.17695     byEQ         
lammps_0074  0.4800       0.96826      0.20334      -1.58162     0.52803      0.00298      -0.08973     -0.15163     -0.01455     -0.17514     byEQ         
lammps_0075  0.4800       0.96898      0.20121      -1.55464     0.42882      0.00016      -0.09046     -0.15061     -0.01519     -0.17507     byEQ         
lammps_0076  0.4800       0.96796      0.19794      -1.63984     0.37694      -0.00025     -0.09241     -0.15324     -0.01648     -0.17699     byEQ         
lammps_0077  0.4800       0.96942      0.19537      -1.61589     0.22656      0.00069      -0.08863     -0.14934     -0.01478     -0.17456     byEQ         
